Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,206.750000,209.790000,206.270000,209.780000,209.780000,12090707
2020-01-03,207.214000,210.400000,206.950000,208.670000,208.670000,11197416
2020-01-06,206.700000,212.780000,206.520000,212.600000,212.600000,17073861
2020-01-07,212.820000,214.580000,211.750000,213.060000,213.060000,15111857
2020-01-08,213.000000,216.240000,212.612000,215.220000,215.220000,13492703
2020-01-09,217.540000,218.380000,216.278000,218.300000,218.300000,12679579
2020-01-10,219.200000,219.880000,217.420000,218.060000,218.060000,12127432
2020-01-13,219.597000,221.970000,219.210000,221.910000,221.910000,14494517
2020-01-14,221.610000,222.380000,218.630000,219.060000,219.060000,13315361
2020-01-15,220.610000,221.680000,220.140000,221.150000,221.150000,10036475
2020-01-16,222.570000,222.630000,220.390000,221.770000,221.770000,10015288
2020-01-17,222.030000,222.290000,220.530000,222.140000,222.140000,15905944
2020-01-21,222.155000,222.370000,219.120000,221.440000,221.440000,14275784
2020-01-22,222.310000,222.750000,221.280000,221.320000,221.320000,12212814
2020-01-23,220.750000,221.485000,219.270000,219.760000,219.760000,11195000
2020-01-24,220.800000,221.780000,216.110000,217.940000,217.940000,11905824
2020-01-27,213.100000,216.060000,212.500000,214.870000,214.870000,13810655
2020-01-28,216.140000,218.740000,213.520000,217.790000,217.790000,13413835
2020-01-29,221.440000,224.200000,218.450000,223.230000,223.230000,33610005
2020-01-30,206.530000,211.430000,204.750000,209.530000,209.530000,48775500
2020-01-31,208.430000,208.690000,201.060000,201.910000,201.910000,31359917
2020-02-03,203.440000,205.140000,202.500000,204.190000,204.190000,15510509
2020-02-04,206.617000,210.600000,205.203000,209.830000,209.830000,19628890
2020-02-05,212.510000,212.730000,208.710000,210.110000,210.110000,12538154
2020-02-06,210.470000,211.190000,209.338000,210.850000,210.850000,10567533
2020-02-07,210.300000,212.820000,209.930000,212.330000,212.330000,12242530
2020-02-10,211.520000,213.800000,210.660000,213.060000,213.060000,11856350
2020-02-11,210.190000,210.860000,206.510000,207.190000,207.190000,25030810
2020-02-12,207.850000,211.220000,207.400000,210.760000,210.760000,13813704
2020-02-13,209.524000,214.326000,209.180000,213.140000,213.140000,15396625
2020-02-14,214.000000,214.930000,212.650000,214.180000,214.180000,10741747
2020-02-18,213.550000,217.975000,213.400000,217.800000,217.800000,15630026
2020-02-19,217.990000,218.320000,216.110000,217.490000,217.490000,12135114
2020-02-20,216.520000,218.765000,212.945000,214.580000,214.580000,13109213
2020-02-21,213.480000,214.237000,208.831000,210.180000,210.180000,14098432
2020-02-24,201.800000,203.650000,198.170000,200.720000,200.720000,23080057
2020-02-25,202.250000,203.500000,195.954000,196.770000,196.770000,21433487
2020-02-26,197.190000,201.210000,195.490000,197.200000,197.200000,16555210
2020-02-27,191.820000,195.880000,189.500000,189.750000,189.750000,21682626
2020-02-28,182.695000,192.740000,181.820000,192.470000,192.470000,32583494
